"전철역명","호선","gu","dong","x","y"
"도봉산역","07호선","도봉구","도봉2동","127.04606271663916","37.68951167833238"
"수락산역","07호선","노원구","상계1동","127.055350968781","37.6778814656816"
"마들역","07호선","노원구","상계9동","127.057712619869","37.6652017465321"
"노원역","07호선","노원구","상계2동","127.063449137455","37.6563403513278"
"노원역","07호선","노원구","상계2동","127.063449137455","37.6563403513278"
"중계역","07호선","노원구","중계2.3동","127.06411035896","37.6450921230569"
"하계역","07호선","노원구","하계1동","127.067991278758","37.6364765391858"
"공릉역","07호선","노원구","공릉1동","127.073033585328","37.6255427648558"
"태릉입구역","07호선","노원구","공릉1동","127.075405300578","37.618459513199"
"태릉입구역","07호선","노원구","공릉1동","127.075405300578","37.618459513199"
"먹골역","07호선","중랑구","묵1동","127.077762187968","37.6106193846197"
"중화역","07호선","중랑구","중화1동","127.079312037122","37.6025526943256"
"상봉역","07호선","중랑구","상봉2동","127.085754455388","37.5955853328943"
"면목역","07호선","중랑구","면목본동","127.087503803859","37.5887148877725"
"사가정역","07호선","중랑구","면목제3.8동","127.088504554212","37.5809403751459"
"용마산역","07호선","중랑구","면목4동","127.086761764772","37.573715696822"
"중곡역","07호선","광진구","중곡3동","127.08431236632154","37.56592206115955"
"군자역","07호선","광진구","능동","127.079512877207","37.5571496853206"
"군자역","07호선","광진구","능동","127.079512877207","37.5571496853206"
"잠실새내역","02호선","송파구","잠실2동","127.086314327913","37.5116263587296"
"종합운동장역","02호선","송파구","잠실2동","127.073849447402","37.5111446632705"
"종합운동장역","02호선","송파구","잠실2동","127.073849447402","37.5111446632705"
"선릉역","02호선","강남구","역삼2동","127.048961694022","37.504497373492"
"서초역","02호선","서초구","서초3동","127.007662120039","37.4918499338918"
"홍대입구역","02호선","마포구","서교동","126.923778562273","37.5568707448873"
"불광역","03호선","은평구","불광1동","126.930315826401","37.6100477979795"
"불광역","03호선","은평구","불광1동","126.930315826401","37.6100477979795"
"어린이대공원역","07호선","광진구","능동","127.074655256871","37.5479626782211"
"건대입구역","07호선","광진구","자양4동","127.069202917341","37.5404084182632"
"건대입구역","07호선","광진구","자양4동","127.069202917341","37.5404084182632"
"뚝섬유원지역","07호선","광진구","자양3동","127.066796230331","37.5315583755646"
"청담역","07호선","강남구","청담동","127.053717937903","37.519455579961"
"강남구청역","07호선","강남구","삼성2동","127.041309814563","37.5172152713709"
"학동역","07호선","강남구","논현2동","127.03190190063152","37.51434578734927"
"논현역","07호선","강남구","논현1동","127.021653112054","37.5112018042687"
"반포역","07호선","서초구","반포1동","127.011586161943","37.5081614290284"
"녹번역","03호선","은평구","녹번동","126.935828008217","37.6008067681825"
"홍제역","03호선","서대문구","홍제3동","126.944158007985","37.5887953806088"
"무악재역","03호선","서대문구","홍제2동","126.950230954136","37.5825632263526"
"독립문역","03호선","종로구","무악동","126.957915974354","37.5744680817828"
"경복궁역","03호선","종로구","사직동","126.973691352767","37.5758061234865"
"안국역","03호선","종로구","종로1.2.3.4가동","126.985423696742","37.576500118896"
"대치역","03호선","강남구","대치1동","127.063203409529","37.4944966528582"
"보라매역","07호선","동작구","대방동","126.920611175261","37.4999217552104"
"신풍역","07호선","영등포구","신길6동","126.90975434386","37.5001229935524"
"남구로역","07호선","구로구","구로3동","126.88741505160269","37.48625714438263"
"가산디지털단지역","07호선","금천구","가산동","126.882661758356","37.4803959660982"
"철산역","07호선","광명시","철산3동","126.868211027014","37.4761928424537"
"광명사거리역","07호선","광명시","광명3동","126.854873735158","37.4792983082726"
"천왕역","07호선","구로구","오류2동","126.83860534807998","37.48685558277736"
"온수역","07호선","구로구","수궁동","126.823847928009","37.4919675365056"
"까치울역","07호선","부천시","부천동","126.81133736089","37.5062273475174"
"부천종합운동장역","07호선","부천시","부천동","126.797233841984","37.5054255130821"
"부천시청역","07호선","부천시","신중동","126.76401271224958","37.504657430273305"
"상동역","07호선","부천시","상동","126.753192450274","37.50578860265"
"삼산체육관역","07호선","부평구","삼산2동","126.741423266126","37.5065022485406"
"굴포천역","07호선","부평구","삼산2동","126.731346449706","37.5070455900364"
"부평구청역","07호선","부평구","부평4동","126.72144197999","37.5074335057831"
"암사역","08호선","강동구","암사2동","127.12754186287123","37.55015908073883"
"가락시장역","08호선","송파구","가락본동","127.118262745146","37.4930992522183"
"가락시장역","08호선","송파구","가락본동","127.118262745146","37.4930992522183"
"문정역","08호선","송파구","문정1동","127.122484886901","37.4860310539381"
"장지역","08호선","송파구","문정2동","127.12617656737","37.4786316933099"
"복정역","08호선","송파구","문정2동","127.126724009736","37.4707418689753"
"산성역","08호선","성남시 수정구","복정동","127.14994299437782","37.45688236829464"
"남한산성입구역","08호선","성남시 수정구","단대동","127.159882577768","37.4516686968693"
"단대오거리역","08호선","성남시 중원구","중앙동","127.156772052175","37.4450233869603"
"신흥역","08호선","성남시 수정구","신흥3동","127.147538132656","37.4409230460675"
"수진역","08호선","성남시 수정구","수진1동","127.140534508419","37.4373779787206"
"천호역","08호선","강동구","천호2동","127.12392845044","37.5385112120297"
"천호역","08호선","강동구","천호2동","127.12392845044","37.5385112120297"
"강동구청역","08호선","강동구","성내1동","127.12044373032","37.5302111983522"
"몽촌토성역","08호선","송파구","오륜동","127.112863087986","37.5178064826321"
"잠실역","08호선","송파구","잠실6동","127.100228759082","37.513312862699"
"잠실역","08호선","송파구","잠실6동","127.100228759082","37.513312862699"
"석촌역","08호선","송파구","송파1동","127.107004062699","37.5054141216925"
"석촌역","08호선","송파구","송파1동","127.107004062699","37.5054141216925"
"송파역","08호선","송파구","가락1동","127.112193506363","37.4997149535067"
"삼전역","09호선","송파구","잠실본동","127.087364764327","37.5045508982288"
"석촌고분역","09호선","송파구","삼전동","127.096509319053","37.5024642610287"
"석촌역","09호선","송파구","송파1동","127.107004062699","37.5054141216925"
"석촌역","09호선","송파구","송파1동","127.107004062699","37.5054141216925"
"송파나루역","09호선","송파구","방이2동","127.11266284528047","37.511016711673854"
"한성백제역","09호선","송파구","오륜동","127.116449169971","37.5165379932802"
"올림픽공원역","09호선","송파구","오륜동","127.130963675401","37.5163389870117"
"올림픽공원역","09호선","송파구","오륜동","127.130963675401","37.5163389870117"
"둔촌오륜역","09호선","강동구","둔촌1동","127.13865206962898","37.51940803726135"
"중앙보훈병원역","09호선","강동구","둔촌2동","127.14841167813621","37.52840258997037"
