"행정구","행정동","20~24세","25~29세","30~34세","35~39세","청년인구","사업체수","종사자수","혼인","대학 수","교통밀접도","완전월세액","행정동코드"
"서대문구","천연동",1071,1206,1096,1324,4697,915,3069,82,1,36,916.628787878788,1113052
"서대문구","홍제1동",1477,1689,1656,1793,6615,1154,4827,128,1,21,1304.27976190476,1113062
"서대문구","홍제3동",1027,1096,1017,954,4094,1157,3687,56,0,45,1207.65625,1113064
"서대문구","홍제2동",854,1005,991,931,3781,594,1699,57,1,10,623.62890625,1113065
"서대문구","홍은1동",1466,1460,1382,1618,5926,999,2658,83,0,29,1347.82738095238,1113066
"서대문구","홍은2동",1994,2250,1762,1726,7732,1219,5414,98,1,67,812.41369047619,1113068
"서대문구","남가좌1동",723,830,896,1587,4036,691,2204,63,0,16,694.777777777778,1113069
"서대문구","남가좌2동",2109,2191,2014,2588,8902,1310,5271,136,1,26,955.399659863946,1113070
"서대문구","북가좌1동",1020,1149,1081,1321,4571,681,3173,73,0,15,1232.01041666667,1113071
"서대문구","북가좌2동",2064,2744,2091,2210,9109,2443,6752,120,0,30,1096.30900900901,1113072
"서대문구","충현동",1363,2073,1622,1651,6709,1817,24246,64,2,49,1400.00198412698,1113073
"서대문구","북아현동",1053,1326,1322,1577,5278,862,2420,82,0,16,807.294871794872,1113074
"서대문구","신촌동",3242,4170,2078,1200,10690,3901,37647,82,2,51,1087.71754227053,1113075
"서대문구","연희동",3175,4529,2983,2638,13325,2352,10752,136,0,56,1172.81741452991,1113076
"마포구","용강동",917,1316,1635,2135,6003,2566,18813,106,0,20,898.418560606061,1114059
"마포구","대흥동",1543,1819,1251,1122,5735,1571,10097,81,1,32,984.0859375,1114060
"마포구","염리동",796,997,864,1001,3658,726,4383,61,0,11,1116.87280701754,1114061
"마포구","신수동",1679,1806,1801,1972,7258,1209,5549,127,0,24,1214.23076923077,1114063
"마포구","서교동",2383,3888,3041,2343,11655,9552,57173,138,0,85,1358.15371287129,1114066
"마포구","합정동",1239,2359,2019,1719,7336,2397,11154,104,0,27,1567.29444444444,1114068
"마포구","망원1동",1319,2174,1976,1946,7415,1899,5293,117,0,30,1565.0274122807,1114069
"마포구","망원2동",1220,1689,1407,1567,5883,1348,4505,107,0,25,1310.38247863248,1114070
"마포구","연남동",1153,2086,1670,1434,6343,1915,6911,83,0,20,1254.69677871148,1114071
"마포구","성산1동",1259,1873,1702,1700,6534,1534,11155,103,0,26,2095.68259803922,1114072
"마포구","성산2동",2845,3931,3496,3230,13502,1757,11682,228,0,41,818.245033112583,1114073
"마포구","상암동",2027,2271,1791,2228,8317,2531,41880,101,0,84,876.397762345679,1114074
"마포구","도화동",1267,1739,1798,1833,6637,2082,16774,110,1,37,869.06268115942,1114075
"마포구","서강동",2108,2536,1944,2171,8759,1828,12774,99,1,61,1431.64138888889,1114076
"마포구","공덕동",2540,3931,3407,3127,13005,2756,18197,193,0,34,1006.42724637681,1114077
"마포구","아현동",1367,1827,2283,2873,8350,1619,10936,171,0,28,1982.50760869565,1114078
"양천구","목1동",1934,1487,1238,2070,6729,2872,21666,110,0,23,845.378333333333,1115051
"양천구","목2동",1997,3016,2704,2547,10264,1196,4523,171,0,15,933.476666666667,1115052
"양천구","목3동",1446,2118,2076,1958,7598,1282,4740,108,0,7,1538.66888020833,1115053
"양천구","목4동",2220,1950,1384,1437,6991,1347,3945,80,0,9,1463.73233333333,1115054
"양천구","신월1동",1184,1507,1359,1406,5456,1765,5183,116,0,9,246.958333333333,1115057
"양천구","신월2동",1257,1453,1359,1681,5750,1175,3943,77,0,10,537.071153846154,1115058
"양천구","신월3동",883,1159,1007,1027,4076,958,4019,42,0,10,509.863636363636,1115059
"양천구","신월4동",1065,1122,1026,1482,4695,1166,4255,86,0,9,554.047619047619,1115060
"양천구","신월5동",923,1228,1002,1109,4262,994,4849,64,0,12,2491.20941358025,1115061
"양천구","신월6동",756,848,1163,1423,4190,1336,3129,104,0,12,944.115900029898,1115062
"양천구","신월7동",1210,1448,1237,1407,5302,1324,5406,85,0,18,374.0625,1115063
"양천구","신정1동",1340,1131,785,1293,4549,1175,5322,66,0,26,1513.04166666667,1115064
"양천구","신정2동",1411,1180,759,1052,4402,1091,3806,33,0,11,961.888888888889,1115065
"양천구","신정3동",2997,2909,2635,3108,11649,1814,9284,173,0,60,739.419298245614,1115066
"양천구","신정6동",1706,1488,1159,1595,5948,714,6916,47,0,24,683.125,1115069
"양천구","신정7동",1877,1727,1467,1768,6839,1030,4457,71,0,25,1004.82670454545,1115070
"양천구","목5동",2483,2027,1625,2383,8518,1565,10700,66,0,32,546.428571428571,1115071
"양천구","신정4동",2258,3029,2414,2675,10376,3090,15439,138,0,14,1106.77130102041,1115072
"강서구","염창동",2322,3109,3455,3896,12782,2170,17152,188,0,30,1788.63687943262,1116051
"강서구","등촌1동",1508,3492,3488,2522,11010,1812,15763,301,0,14,921.621794871795,1116052
"강서구","등촌2동",1308,2012,1783,1755,6858,737,3541,115,0,7,1586.89197530864,1116053
"강서구","등촌3동",1876,2303,2401,2260,8840,2533,19252,173,0,48,1037.375,1116054
"강서구","화곡본동",2210,3747,3137,3221,12315,1389,4179,139,1,26,1025.14830508475,1116055
"강서구","화곡2동",1086,1538,1351,1577,5552,855,2732,56,0,30,1176.40476190476,1116057
"강서구","화곡3동",1310,1831,1576,1632,6349,1222,4170,75,0,9,1068.40333333333,1116058
"강서구","화곡4동",1203,1784,1626,1763,6376,1469,3988,76,0,30,885.473295454545,1116059
"강서구","화곡6동",1587,2656,2206,1975,8424,1749,10847,91,0,29,646.131872852234,1116061
"강서구","화곡8동",1514,2357,2125,2144,8140,1275,4167,99,0,30,708.131578947368,1116063
"강서구","가양1동",2585,5847,4906,3422,16760,5790,56353,301,0,58,917.556708784597,1116064
"강서구","가양2동",594,1114,1353,1057,4118,633,3383,89,0,12,1332.97857142857,1116065
"강서구","가양3동",678,1171,1730,1393,4972,904,7374,185,0,13,1641.12530864198,1116066
